Course Code,Title,GERs,Description,Units,Grading,Component,Days,Time,Location,Instructors,Final Exam
OUTDOOR30,Sea Kayaking I: Introduction to Sea Kayaking,,"Learn the  fundamental skills and safety pracices for coastal sea kayaking.  Topics include essential gear, strokes and maneuvering, rescues and recoveries, and understanding tides and currents. This course will consist of several trips to Half Moon Bay and other near by coastal kayak areas. Active participation is required. Course culminates in a student-planned trip to a local kayaking destination.",1,Satisfactory/No Credit,ACT,Wednesday,1:30:00 PM - 5:30:00 PM,,Sue Lowley; Alyson Chun,No
OUTDOOR105,Introduction to Backpacking,,"Introduction to essential skills for individual and group sustainability in a backcountry setting including shelter in outdoor environments, equipment selection and use, travel techniques, water and nutrition needs, planning and preparation, and risk management. Course requires participation in a weekend backpacking experience.",1,Satisfactory/No Credit,WKS,Tuesday,3:00:00 PM - 4:15:00 PM,AOERC 103B,Bri Milano; Matt Ackley,No
OUTDOOR106,Outdoor Leadership Practicum,,"Students will gain experience with both the technical campcraft, leadership, and risk management, skills necessary for to lead adventure based outdoor experiences. These skills will then be put into practice during an intensive field-based experience at the end of the course.  During this field-based experiences, students will engage with critical self-assessment process to better understand their own levels of competence.",2-3,Satisfactory/No Credit,PRA,"Monday, Wednesday",4:30:00 PM - 5:50:00 PM,AOERC 103B,Sue Lowley; Matt Ackley,No
OUTDOOR119,Advanced Topics in Outdoor Leadership,,"Students will gain experience with site management, instructional practices,  risk management through a combination of teaching and leading weekend adventure based experiences, discussion of industry trends in managing risks, and through immersive field experiences.  Prerequisites: OUTDOOR 106",1-2,Satisfactory/No Credit,PRA,Wednesday,9:30:00 AM - 10:20:00 AM,AOERC 103B,Sue Lowley,No
PHYSWELL1,Indoor Cycling,,"This course is designed to teach students basic concepts associated with indoor cycling as well as build cardio-respiratory endurance, muscular strength, and flexibility through structured individually paced indoor cycling workouts. Instructors motivate participants through intervals, hill climbs and coasts for the ultimate workout. This course will utilize class discussions, class assignments and student participation to enable students to: (1) Understand basic components of health-related physical fitness, (2) Develop physical fitness and motor skills, and (3) Develop a positive attitude toward wellness and physical activity which will facilitate a healthy lifestyle.",1,Satisfactory/No Credit,ACT,"Tuesday, Thursday",11:30:00 AM - 12:20:00 PM,AOERC Cycling Room,Tia Lillie,No
PHYSWELL2,Cross-training,,"Students will be introduced to full-body conditioning training that targets physical fitness's health-related components, including cardiorespiratory endurance, muscular strength, muscular endurance, and flexibility.  This course will incorporate various modes of activity such as weight training, core training, TRX, aqua jogging, and cycling. This course will utilize class discussions, assignments, and student participation to enable students to: (1) Understand basic components of health-related physical fitness and (2) Understand skills and concepts as they relate to overall health, fitness, and well-being (3) Gain knowledge on how to develop a safe training program, contributing to a healthy active lifestyle.",1,Satisfactory/No Credit,ACT,"Monday, Wednesday",10:30:00 AM - 11:20:00 AM,AOERC Studio 203,Tia Lillie,No
PHYSWELL3,"Keep Calm, Jog On",,"During the first five weeks, students will learn the basics of running mechanics such as proper running posture, gait, and foot strike.  Practical application will include conditioning exercises specifically for runners and joggers.  Students will also learn how to perform appropriate warm-up and cool-down exercises and proper stretching techniques.  During the second half of the quarter, students will learn how to pace themselves through a variety of workouts such as easy runs, tempo runs, interval training (speed and hills), and other training methods. At the end of the quarter, students will have the knowledge to develop a safe training program, contributing to a healthy active lifestyle.Prerequisite: All levels are welcome.",1,Satisfactory/No Credit,ACT,"Monday, Wednesday",11:30:00 AM - 12:20:00 PM,AOERC Basketball Court 1,Tia Lillie,No
PHYSWELL4,Walking,,"Students will engage in a variety of campus walks, using their senses to practice present-moment awareness and gratitude. Labyrinth walking, breath-to-step walking, and other breathwork practices will be introduced for stress reduction. Students will &quot;talk&quot; by sharing experiences that create a sense of community and belonging. Instruction includes physical health assessments, lower body conditioning, gait analysis, posture correction, stretching, and foam rolling techniques as a cool-down. Through class instruction, assignments, and participation will have an understanding of skills and concepts as they relate to overall health, fitness, and well-being, which facilitates a healthy, active, lifestyle.",1,Satisfactory/No Credit,ACT,, - ,,,No
PHYSWELL5,Fundamentals of TRX,,"Students will learn a variety of exercises that focuses on total body resistance exercise. This class allows you to move, stretch and strengthen the entire body.  Exercising on the TRX utilizes gravity and movement to generate neuromuscular responses to changes in body position and mechanical advantage. Movements using the TRX integrate strength and balance into a single dynamic format. This course will utilize class discussions, class assignments and student participation to enable students to: (1) Understand basic components of health-related physical fitness such as: cardiovascular fitness, muscular strength and endurance and flexibility (2) Develop physical fitness and motor skills, and (3) Develop a positive attitude toward wellness and physical activity which will facilitate a healthy lifestyle.",1,Satisfactory/No Credit,ACT,"Monday, Wednesday",11:30:00 AM - 12:20:00 PM,AOERC Studio 203,Tia Lillie,No
PHYSWELL7,Core Training,,"Learn and practice methods and techniques to improve core, spine, and pelvic stability in conjunction with body mechanics to set a solid foundation for navigating movement in your body. A strong torso is a foundational and an essential component in posture, performance (sports, leisure activities, or hobbies), and activities of daily living. Students will engage in a variety of trunk, upper-body, and lower-body exercises utilizing the three planes of motion in varying environments to intensify workload and challenge balance. This course will utilize class discussions, class assignments, and student participation to empower students to (1) Understand basic components of health-related physical fitness such as muscle strength and endurance, (2) Develop physical fitness skills, and (3) Develop a positive attitude toward wellness and physical activity which will facilitate a healthy lifestyle.",1,Satisfactory/No Credit,ACT,"Tuesday, Thursday",8:30:00 AM - 9:20:00 AM,AOERC Studio 203,Laurel Mines,No
PHYSWELL8,Cardio Dance Fitness,,"Students will engage in a variety of cardiovascular exercises, such as fun choreographed dances and HIIT, that will improve overall cardiorespiratory fitness. This course will utilize class discussions, assignments, and student participation to enable students to: (1) Understand the health and skill-related components of physical fitness (2) Develop programs to improve their cardiorespiratory fitness level (3) Apply the principles and concepts of physical fitness as they relate to overall health, fitness, and well-being, which facilitates a healthy, active, lifestyle.",1,Satisfactory/No Credit,ACT,, - ,,,No
PHYSWELL12,Weight Training: Beginning,,"This course is designed to teach the fundamentals of weight training, including equipment use, exercise technique and safety procedures. By the end of the course, students should be able to safely demonstrate a variety of exercise techniques, as well as have a general appreciation for the benefits of strength training.",1,Satisfactory/No Credit,ACT,"Tuesday, Thursday",7:30:00 AM - 8:20:00 AM,AOERC Fitness Center,Laurel Mines,No
PHYSWELL13,Weight Training: Intermediate,,"This course will allow students to expand upon skills learned in Beginning Weight Training. Students will learn to design and develop a balanced weight training program to meet their goals. This course also provides an opportunity to develop skills in specific areas of strength training, endurance, and power. This course will utilize class discussions, class assignments and student participation to enable students to: (1) Understand basic components of health-related physical fitness such as: muscular strength and endurance, power, and flexibility (2) Develop physical fitness and motor skills, and (3) Develop a positive attitude toward wellness and physical activity which will facilitate a healthy lifestyle.Prerequisite: Students should have taken one of the following PE classes prior to registering for this course (PE 12: Beginning Weight Training, PE 5: TRX, PE 7: Core Training, PE 14: FUNctional Fitness Training, PE16: Circuit Training and PE 17: Total Body Training) or have prior weight/resistance training experience and a understanding of the fundamental principles associated with weight/resistance training",1,Satisfactory/No Credit,ACT,"Tuesday, Thursday",7:30:00 AM - 8:20:00 AM,AOERC Studio 203,Laurel Mines,No
PHYSWELL20,Badminton: Beginning,,"This course is designed to teach the basic skills necessary to play the game of badminton.  Fitness and training principles will be discussed as well as singles and doubles strategy. This course will utilize class discussions, class assignments and student participation to enable students to: (1) Understand basic components of skill-related and health-related physical fitness (2) Develop physical fitness and motor skills, and (3) Develop a positive attitude toward wellness and physical activity which will facilitate a healthy lifestyle.",1,Satisfactory/No Credit,ACT,"Monday, Wednesday",8:30:00 AM - 9:20:00 AM,AOERC Basketball Court 2,Jin Hong Yan,No
PHYSWELL21,Badminton: Intermediate,,"TThis course will introduce the student to more advanced skills and strategies of the game of badminton.  Emphasis will be placed on conditioning, shot selection, court positioning, and singles and doubles play. This course will utilize class discussions, class assignments and student participation to enable students to: (1) Understand basic components of skill-related and health-related physical fitness (2) Develop physical fitness and motor skills, and (3) Develop a positive attitude toward wellness and physical activity which will facilitate a healthy lifestyle.Prerequisite: PHYSWELL 20 or average ability in fundamental strokes, and regular playing experience.",1,Satisfactory/No Credit,ACT,"Monday, Wednesday",9:30:00 AM - 10:20:00 AM,AOERC Basketball Court 2,Jin Hong Yan,No
PHYSWELL23,Pickleball: Beginning,,"Students will learn and develop the essential stroke techniques with an emphasis on control.  This course will also incorporate rules, etiquette, and basic play. This course will utilize class discussions, class assignments, and student participation to enable students to: (1) Understand basic components of skill-related and health-related physical fitness (2) Develop physical fitness and motor skills, and (3) Develop a positive attitude toward wellness and physical activity which will facilitate a healthy lifestyle.  Pickleball Paddles will be provided in class.",1,Satisfactory/No Credit,ACT,"Wednesday, Friday",1:30:00 PM - 2:20:00 PM,AOERC Basketball Court 2,Leonardo Schneiderman,No
PHYSWELL26,Tennis: Beginning,,"Students will learn and develop the essential stroke techniques with emphasis on control.  This course will also incorporate rules, etiquette, and basic play. This course will utilize class discussions, class assignments and student participation to enable students to: (1) Understand basic components of health-related physical fitness, cardiovascular fitness, muscular strength and endurance and flexibility (2) Develop physical fitness and motor skills, and (3) Develop a positive attitude toward wellness and physical activity which will facilitate a healthy lifestyle.",1,Satisfactory/No Credit,ACT,"Tuesday, Thursday",10:30:00 AM - 11:20:00 AM,West Tennis Courts,Laurel Mines,No
PHYSWELL27,Tennis: Advanced Beginning,,"Students will review and strengthen stroke techniques with an emphasis on control, depth, and direction.  This course will also incorporate rules, etiquette, and basic strategy and tactics. This course will utilize class discussions, class assignments, and student participation to enable students to: (1) Understand basic components of health-related physical fitness, cardiovascular fitness, muscular strength and endurance, and flexibility (2) Develop physical fitness and motor skills, and (3) Develop a positive attitude toward wellness and physical activity which will facilitate a healthy lifestyle. Prerequisites: PHYSWELL 26, or knowledge of rules and scoring and average ability in fundamental strokes but limited playing experience.",1,Satisfactory/No Credit,ACT,"Wednesday, Friday",10:30:00 AM - 11:20:00 AM,West Tennis Courts,Leonardo Schneiderman,No
PHYSWELL28,Tennis: Intermediate,,"Students will review and strengthen stroke techniques with more emphasis on depth, direction, and spin. This course will also incorporate basic to advanced strategies and tactics with performance-enhancing cooperative and competitive drills. This course will utilize class discussions, class assignments, and student participation to enable students to: (1) Understand basic components of health-related physical fitness, cardiovascular fitness, muscular strength and endurance, and flexibility (2) Develop physical fitness and motor skills, and (3) Develop a positive attitude toward wellness and physical activity which will facilitate a healthy lifestyle. Prerequisites: PHYSWELL 27 or average ability in fundamental strokes, and regular playing experience.",1,Satisfactory/No Credit,ACT,"Wednesday, Friday",9:30:00 AM - 10:20:00 AM,West Tennis Courts,Leonardo Schneiderman,No
PHYSWELL33,Golf: Beginning,,"This course is designed to teach the fundamentals of the golf swing; putting, chipping, and sand play. We will also cover golf etiquette and rules. This course will utilize class discussions, class assignments and student participation to enable students to: (1) Understand basic components of skill-related and health-related physical fitness, (2) Develop physical fitness and motor skills, and (3) Develop a positive attitude toward wellness and physical activity which will facilitate a healthy lifestyle.",1,Satisfactory/No Credit,ACT,"Monday, Wednesday",2:30:00 PM - 3:20:00 PM,Gold Driving Range,Erick Schlimmer,No
PHYSWELL34,Golf: Advanced Beginning,,"This course allows students to further develop their golf swing and short game. This course will also review golf concepts, rules, and etiquette. This course will utilize class discussions, class assignments, and student participation to enable students to: (1) Understand basic components of skill-related and health-related physical fitness, (2) Develop physical fitness and motor skills, and (3) Develop a positive attitude toward wellness and physical activity which will facilitate a healthy lifestyle. Prerequisite: PHYSWELL: 33 or previous golf experience.",1,Satisfactory/No Credit,ACT,"Tuesday, Thursday",11:30:00 AM - 12:20:00 PM,Gold Driving Range,Erick Schlimmer,No
PHYSWELL35,Golf: Intermediate,,"This course allows students to further develop their golf game by engaging in various golf drills and the opportunity to practice all facets of golf. Students will learn how to lower scores and manage the game on the course. This course will utilize class discussions, class assignments, and student participation to enable students to: (1) Understand basic components of skill-related and health-related physical fitness, (2) Develop physical fitness and motor skills, and (3) Develop a positive attitude toward wellness and physical activity which will facilitate a healthy lifestyle. Prerequisite: PHYSWELL: 34 or previous golf experience.",1,Satisfactory/No Credit,ACT,"Monday, Wednesday",1:30:00 PM - 2:20:00 PM,Gold Driving Range,Erick Schlimmer,No
PHYSWELL36,Golf: Advanced,,"This course is designed to refine the golf swing and increase power, distance, and accuracy. This course will also cover topics such as course management, mental preparation, and visualization techniques. This course will utilize class discussions, class assignments, and student participation to enable students to: (1) Understand basic components of skill-related and health-related physical fitness, (2) Develop physical fitness and motor skills, and (3) Develop a positive attitude toward wellness and physical activity which will facilitate a healthy lifestyle. Prerequisite: PHYSWELL 35 or experience playing and practicing, and the ability to hit shots with relative accuracy and distance.",1,Satisfactory/No Credit,ACT,"Monday, Wednesday",2:30:00 PM - 3:20:00 PM,Gold Driving Range,Erick Schlimmer,No
PHYSWELL50,Swimming: Beginning,,"This class is for first time swimmers and for individuals who have fear, anxiety or discomfort in water. This class is also designed for individuals who have previously taken beginning swim courses and have had little/no success or who struggle to move through water. A foundation of basic balance and movement skills will be developed through a series of fundamental water exercises. When safety or balance in the water is in question, so is the ability to move, and to some extent, the ability to breathe comfortably.  As comfort and balance improves, the easier it is to accept breathing and movement skills. The goal is for a swimmer to become comfortable and in control in both shallow and deep water. The fundamental skills learned in this course will provide a foundation for learning stroke technique, such as freestyle, in an effortless manner. Prerequisites: None",1,Satisfactory/No Credit,ACT,"Tuesday, Thursday",9:30:00 AM - 10:20:00 AM,AOERC Avery Recreational Pool,Laura Gross,No
PHYSWELL51,Swimming: Advanced Beginning,,"In this class you will learn how to relax in the water, breath effectively, float and tread, swim 4-5 strokes (freestyle, backstroke, sidestroke, elementary backstroke, and breaststroke, time permitting), jump in the water from the deck, use swimming equipment (kickboards, pull buoys, fins) and swim across a 25-yard pool. This course will utilize class discussions, class assignments, and student participation to enable students to: (1) Swim each stroke with proper form and technique (2) Develop an understanding of how to stay healthy and conditioned to further enhance swim strokes and decrease the risk of injuries. (3) Develop a positive attitude toward wellness and physical activity, which will facilitate a healthy lifestyle. Prerequisite: Successfully complete all skills during assessment ( front float, back float, vertical float, perform forward motion on the front (12 yards), perform forward motion on back (12 yards), perform all transitions &iquest; back to front, front to back), or successfully completed PHYSWELL 50: Beg. Swimming.",1,Satisfactory/No Credit,ACT,"Tuesday, Thursday",10:30:00 AM - 11:20:00 AM,AOERC Avery Recreational Pool,Laura Gross,No
PHYSWELL52,Swimming: Intermediate,,"This class is for those who can swim across a 50-yard pool.  In this class, you will learn how to: breathe effectively, tread water, dive in from the edge, and use swimming equipment (kickboards, pull buoys, hand paddles, fins).  You will be introduced to and gain further development of the 4 competitive swimming strokes (Freestyle, Backstroke, Breaststroke &amp; Butterfly).  An introduction to flipturns and intervals (50-yard repeats) will be taught.  Underwater videotaping and stroke review and analysis will occur. Prerequisite: Ability to swim 50 yards continuously (swim 2 lengths on the front (basic motion), swim 2 lengths on the back (basic, elementary motion), swim 2 lengths freestyle (or breaststroke), swim 2 lengths backstroke). Prerequisite: Students MUST be comfortable in the deep water, if you are uncomfortable in deep water please take  PHYSWELL 51: Swimming: Advanced Beginning.",1,Satisfactory/No Credit,ACT,"Tuesday, Thursday",8:30:00 AM - 9:20:00 AM,AOERC Avery Recreational Pool,Laura Gross,No
PHYSWELL55,Swim Conditioning,,"The primary focus of this course is to enable swimmers to improve their overall cardiovascular endurance and muscular strength and endurance by engaging in both drills and techniques of the four competitive strokes (freestyle, backstroke, butterfly, and breaststroke). This course covers the mechanics of each stroke, training methods, and training principles. Prerequisite: Ability to tread deep water for 5 minutes, swim 5x 100-meter intervals of freestyle, backstroke, and breaststroke with rhythmic breathing, and swim 500 meters continuously in under 9 minutes.",1,Satisfactory/No Credit,ACT,Friday,3:30:00 PM - 5:20:00 PM,AOERC Avery Recreational Pool,Leonardo Schneiderman,No
PHYSWELL69,Introduction to Martial Arts,,"This course will focus on techniques, training methods, history, and culture of Asian martial arts. Throughout the quarter, students will learn proper warm-ups, fundamental techniques, basic application, and conditioning. This course will focus on the development of (1) Martial Art skills for physical fitness and positive exercise experience, and (2) understanding of benefits of Martial Arts toward a positive attitude toward wellness and physical activity which will facilitate an active and healthy lifestyle.",1,Satisfactory/No Credit,ACT,"Tuesday, Thursday",11:30:00 AM - 12:20:00 PM,ACSR Milas Studio,Jonathan Keeling,No
PHYSWELL70,Martial Arts: Intermediate,,"This course will focus on training methods and intermediate-level techniques, including techniques in kata (20+ move routines) and kumite (controlled sparring exercises). Students will learn how to properly warm up, cool down, stretch, and perform conditioning exercises related to martial arts. Students will also learn some of the history of martial arts. This course will focus on the development of (1) Martial Arts skills for physical fitness and positive exercise experience, and (2) understanding of the benefits of Martial Arts toward a positive attitude toward wellness and physical activity. This course expands upon the material in PHYSWELL70 to reach a higher level of understanding and proficiency.",1,Satisfactory/No Credit,ACT,, - ,,,No
PHYSWELL71,Taiji Quan (Tai Chi),,"Tai Chi (Taiji Quan) is a slow meditative Chinese exercise designed for relaxation, and to improve balance, and health. This course will focus on the development of (1) motor Tai chi skills for physical fitness and positive exercise experience, (2) knowledge of Tai Chi and basic components of health-related physical fitness, and (3) understanding of benefits of Tai chi toward a positive attitude toward wellness and physical activity which will facilitate an active and healthy lifestyle.All levels are welcome.",1,Satisfactory/No Credit,ACT,"Monday, Wednesday",7:30:00 AM - 8:20:00 AM,AOERC Studio 203,Jin Hong Yan,No
PHYSWELL75,Self-Defense,,"Develop fundamental self-defense awareness, knowledge, and strategies for handling violent crimes under a variety of conditions. Improve physical self-defense skills on different types of common physical attacks and applications via hands-on experience in simulated situations. Incorporate self-defense skill practice in daily physical activity routines for an active lifestyle.",1,Satisfactory/No Credit,ACT,"Tuesday, Thursday",10:30:00 AM - 11:20:00 AM,ACSR Milas Studio,Jonathan Keeling,No
PHYSWELL80,Yoga for Stress Management,,"Students will have the opportunity to learn ancient yoga/health practices for managing daily stressors. Students will learn to identify signs and symptoms of stress, how anxiety manifests in the body and mind, and yoga techniques for relief. The focus will be on breathing techniques to calm the nervous system and practicing mindfulness. Hatha, or physical yoga, will also be introduced as preliminary practices to balance the body, relax the breath, stretch and tone muscles, and massage internal organ systems. All practices are meant to provide students new options for gaining inner strength and self-control. This course will utilize class instruction, assignments, and student participation to enable students to: (1) Acquire knowledge of the basic health-related components of physical fitness and the different dimensions of wellness. (2) Develop the skill-related components of fitness, and (3) Understand and practice the behaviors that contribute to a healthy lifestyle.",1,Satisfactory/No Credit,ACT,"Tuesday, Thursday",9:30:00 AM - 10:20:00 AM,AOERC Studio 203,Terri Lyn Yamamoto,No
PHYSWELL81,Yoga: Beginning,,"Students will learn basic yoga poses and how to reduce tension, increase energy levels, move efficiently, reconnect to self-awareness, and learn about the body.  The poses are adaptable and can be personalized for any level of fitness.  The emphasis of the class will be on asanas (poses) for increased flexibility, improved health, relaxation, and reduced stress in daily living. Students will also be exposed to the language, philosophy, history, and concepts of Yoga.  A typical class will include breathing techniques, meditation and asana practice, including standing, balancing, stretching and some inverted poses. At the end of the quarter students will have: (1) Acquired knowledge of the basic components of health and wellness. (2) Developed physical fitness and motor skills, and (3) A positive attitude toward wellness and physical activity which will facilitate a healthy lifestyle.",1,Satisfactory/No Credit,ACT,"Tuesday, Thursday",1:30:00 PM - 2:20:00 PM,AOERC Studio 203,Laura Gross,No
PHYSWELL84,Yoga/Pilates Fusion,,"This class will focus on practicing yoga poses and Pilates exercises to enhance one's sense of proprioception, mind-body awareness, and muscular strength and endurance.  This course will utilize class instruction, assignments, and student participation to enable students to:  (1) Acquire knowledge of the basic health-related components of physical fitness and the different dimensions of wellness.  (2) Develop the skill-related components of fitness, and (3) Understand and practice the behaviors that contribute to a healthy lifestyle.",1,Satisfactory/No Credit,ACT,"Tuesday, Thursday",10:30:00 AM - 11:20:00 AM,AOERC Studio 203,Terri Lyn Yamamoto,No
PHYSWELL85,"Yoga for Health, Performance, and Wellbeing",,"This course will emphasize yoga, including asanas (poses), meditation, pranayama, and psychology, which are used to improve health, well-being, and performance in daily living. We will use Yoga to explore how these factors manifest and change through practice in and outside class. A typical class will include breathing techniques (pranayama), meditation (mindfulness), and asana practice, including standing, balancing, stretching, and some inverted poses. Using in-class instruction, activities, discussions, reading, assignments, and student participation enables students to (1) Acquire knowledge of yoga-based practices and how they affect health, well-being, and performance. (2) Develop physical fitness and motor skills. (3) Develop a positive and more holistic attitude toward wellness and physical activity, facilitating a healthy lifestyle. (4) Explore yoga as a method to train our ability to notice, use, and regulate mindsets.",1,Satisfactory/No Credit,ACT,, - ,,,No
PHYSWELL86,Power Yoga,,"Power yoga combines dynamic breathing and flowing sequences of asanas that focus on strengthening the entire body.  Core muscle activation and stabilization is emphasized to ensure safe body mechanics. Power yoga will provide students with information and practical experience that will enable students to: (1) Acquire knowledge of the basic components of health and wellness. (2) Develop physical fitness and motor skills, and (3) Develop a positive attitude toward wellness and physical activity, which will facilitate a healthy lifestyle.Prerequisite: Students must have prior yoga experience.",1,Satisfactory/No Credit,ACT,"Tuesday, Thursday",10:30:00 AM - 11:20:00 AM,AOERC Studio 203,Terri Lyn Yamamoto,No
EARTHSYS8,The Oceans: An Introduction to the Marine Environment (ESS 8),WAY-SMA,"The course will provide a basic understanding of how the ocean functions as a suite of interconnected ecosystems, both naturally and under the influence of human activities. Emphasis is on the interactions between the physical and chemical environment and the dominant organisms of each ecosystem. The types of ecosystems discussed include coral reefs, deep-sea hydrothermal vents, coastal upwelling systems, blue-water oceans, estuaries, and near-shore dead zones. Lectures, multimedia presentations, group activities, and tide-pooling day trip.",4,Letter or Credit/No Credit,LEC,, - ,,,No
EARTHSYS11,Introduction to Geology (EPS 1),"GER: DB-NatSci, WAY-AQR, WAY-SMA","(Former GEOLSCI 1) Why are earthquakes, volcanoes, and natural resources located at specific spots on the Earth's surface? Why are there rolling hills to the west behind Stanford and soaring granite walls to the east in Yosemite? What was the Earth like in the past, and what will it be like in the future? Lectures, hands-on laboratories, in-class activities, and one virtual field trip will help you see the Earth through the eyes of a geologist. Topics include plate tectonics, the cycling and formation of different types of rocks, and how geologists use rocks to understand Earth's history. Change of Department Name: Earth &amp; Planetary Sciences (Formerly Geological Science)",5,Letter or Credit/No Credit,LBS,Wednesday,2:30:00 PM - 5:20:00 PM,Departmental Room,,No
